연번,현행 용어,쉬운 용어,한자 또는 외국어
410,안검염,눈꺼풀염,眼瞼炎 /blepharitis/palpebritis
411,안검하수,눈꺼풀처짐,眼瞼下垂/Ptosis of eyelid
412,안구건조증,눈마름증,ophthalmoxerosis/xeropht halmia
413,안구자통,눈의(찌르는듯한) 통증,眼球刺通
414,안구작열감,눈의 화끈거림,眼球灼熱感
415,안구진탕,"눈떨림, 안진",nystagmus
416,안구진탕증/안진,눈떨림,眼球震盪/nystagmus
417,안근,안구근육,眼筋/ocular muscle
418,안내,안구내/눈속,眼內/intraocular
419,안면,얼굴,顔面/face
420,안염,눈염증,ophthalmia/ophthalmitis
421,안와,눈주변,orbital
422,안와주위부종,눈주변 부기,
423,안저,눈바닥,眼底/ ocular fundus
424,알칼로시스,알칼리증,alkalosis
425,암점,시야불능부위,scotoma/ visual field defect
426,압통,누르는 통증,壓痛/ tenderness
427,애역,딸꾹질,hiccough/ hiccup
428,액와,겨드랑(이),axilla
429,약진,약물발진,drug eruption/drug rash/medicinal druption
430,양안,두 눈,兩眼
431,양진,가려움발진,prurigo
432,역연동,거꿀꿈틀운동,逆聯動/ retrostalsis
433,역위증,좌우바뀜증,situs inversus
434,연동,꿈틀운동,peristalsis
435,연령,나이,age
436,연변,묽은변,軟便
437,연성하감균,무른궤양균,軟性下疳菌
438,연용,계속 복용(사용),
439,연축,수축과 이완,攣縮/ spasm
440,연축,뒤당김/수축,retraction
441,연하,삼키기/삼킴,嚥下/ swallowing
442,연하곤란,삼킴곤란,嚥下困難/ dysphagia
443,연하운동,삼킴운동,嚥下運動/ deglutition movement
444,연하장애,삼킴곤란,嚥下障碍/ dysphagia
445,열/ 균열,"틈새, 열창",fissure
446,열개창,"열린상처, 개방창",open wound
447,열공,"구멍, 틈새",hiatus
448,열상,화상,熱傷/ burn/combustion
449,열창/열상,찢긴상처,裂創/ lacerated wound
450,염기성,알칼리성,鹽基性
451,염좌,삠,捻挫/ sprain/stremma
452,염좌통,삔 통증,捻挫痛
453,영아,"젖먹이, 갓난아기",嬰兒
454,예각부,날카로운 부분,銳角部
455,오심,구역,惡心/ nausea
456,오용,잘못 사용,誤用
457,옹종,큰종기,癰腫/ carbuncle
458,와우각,"와우, 달팽이관",蝸牛殼
459,와우기관,"와우관, 달팽이관",蝸牛器官/cochlea duct
460,완선,사타구니백선(증),頑癬/eczema marginatum
461,외골증,뼈돌출증,外骨症/ exostosis
462,외상,상처,trauma
463,외이,바깥귀,external ear
464,외이도,바깥귀길,external auditory canal
465,요,허리,lumbar
466,요당양성,소변에 포도당이 배출됨,尿糖陽性
467,요배통증,"허리, 등 통증",腰背痛症
468,요부,허리,lumbar
469,요잠혈,"피섞인 소변, 피섞인 오줌",urine occult blood/ hematuria
470,요천통,허리통증,腰薦痛
471,요추,허리뼈,lumbar vertebra
472,요추간원판,허리척추원반,lumbar intervertebral disc
473,요추골,허리뼈,腰椎骨/lumbar spine/lumbar vertebra
474,요폐,소변축적,尿閉/ retention of urine/ischuria
475,요폐색,요로폐색,尿閉塞/urinary obstruction
476,용량의존적/용량의존적인,용량에 비례하는,dose dependant
477,용이하게/ 용이하며,쉽게/ 쉬우며,
478,용이하도록,쉽도록,
479,용해하여,녹여서,溶解/dissolution
480,우종,사마귀,wart
481,위부포만감,상복부 팽창감,胃部飽滿感
482,위아전절제술,대부분위절제술,subtotal gastrectomy
483,위약,"속임약, 모양약, 헛약",placebo
484,위양성,거짓양성,false-positive
485,위음성,거짓음성,false negative
486,위중감,위가 답답한 느낌,胃重感
487,위체,체함,食滯
488,위하수,위처짐,gastric ptosis
489,유당,젖당,乳糖/lactose
490,유루증,눈물흘림,流淚症/piphora
491,유산산증,젓산 산증,乳酸酸症/lacticacidosis
492,유상물질,기름상태물질,油狀物質
493,유양동절제술,꼭지돌기절제술,mastoidectomy
494,유즙루/ 유루/ 유루증,"젖흐름증, 유즙분비과다",乳汁漏/ 乳漏/乳漏症 galactorrhea/lactorrhea
495,유즙울체,젖고임,乳汁鬱滯
